aluminaRefl,aluminaRefl_wl
0.95833564,1254.1486
0.95833564,1260.0774
0.95833564,1266.0062
0.95833564,1271.9351
0.95833564,1277.864
0.95963776,1283.7928
0.95963776,1289.7216
0.95963776,1295.6505
0.96093988,1301.5793
0.96093988,1307.5082
0.96093988,1313.4371
0.96093988,1319.3658
0.96093988,1325.2947
0.96093988,1331.2236
0.96093988,1337.1525
0.96093988,1343.0813
0.96093988,1349.0101
0.96093988,1354.939
0.96093988,1360.8678
0.96093988,1366.7968
0.96093988,1372.7256
0.96093988,1378.6544
0.96224189,1384.5833
0.96224189,1390.5121
0.96224189,1396.441
0.96224189,1402.3699
0.96224189,1408.2986
0.96224189,1414.2275
0.96224189,1420.1564
0.96354401,1426.0852
0.96354401,1432.0142
0.96354401,1437.9429
0.96354401,1443.8717
0.96354401,1449.8007
0.96224189,1455.7295
0.96224189,1461.6583
0.96224189,1467.5872
0.96354401,1473.516
0.96354401,1479.4448
0.96354401,1485.3738
0.96354401,1491.3026
0.96354401,1497.2313
0.96354401,1503.1603
0.96354401,1509.0891
0.96224189,1515.0179
0.96224189,1520.9468
0.96224189,1526.8756
0.96224189,1532.8044
0.96093988,1538.7334
0.96093988,1544.6622
0.96093988,1550.5909
0.96093988,1556.5199
0.96093988,1562.4487
0.96093988,1568.3776
0.96093988,1574.3065
0.96093988,1580.2352
0.96093988,1586.1641
0.96093988,1592.093
0.96093988,1598.0219
0.96093988,1603.9507
0.96093988,1609.8795
0.96093988,1615.8083
0.96093988,1621.7372
0.96093988,1627.6661
0.96093988,1633.595
0.96093988,1639.5238
0.96093988,1645.4526
0.96224189,1651.3815
0.96093988,1657.3104
0.96224189,1663.2393
0.96224189,1669.168
0.96224189,1675.0969
0.96354401,1681.0258
0.96354401,1686.9546
0.96354401,1692.8835
0.96354401,1698.8123
0.96354401,1704.7411
0.96354401,1710.67
0.96354401,1716.5989
0.96354401,1722.5277
0.96354401,1728.4565
0.96484613,1734.3854
0.96484613,1740.3142
0.96614814,1746.2432
0.96614814,1752.172
0.96614814,1758.1007
0.96614814,1764.0297
0.96614814,1769.9585
0.96614814,1775.8873
0.96614814,1781.8163
0.96614814,1787.745
0.96614814,1793.6738
0.96614814,1799.6028
0.96614814,1805.5316
0.96614814,1811.4604
0.96614814,1817.3893
0.96614814,1823.3181
0.96614814,1829.2469
0.96614814,1835.1759
0.96614814,1841.1047
0.96614814,1847.0334
0.96745026,1852.9624
0.96745026,1858.8912
0.96745026,1864.8201
0.96745026,1870.749
0.96745026,1876.6777
0.96745026,1882.6066
0.96614814,1888.5355
0.96614814,1894.4644
0.96614814,1900.3932
0.96614814,1906.322
0.96614814,1912.2509
0.96614814,1918.1798
0.96614814,1924.1086
0.96614814,1930.0375
0.96614814,1935.9663
0.96614814,1941.8951
0.96614814,1947.824
0.96614814,1953.7529
0.96614814,1959.6818
0.96745026,1965.6105
0.96745026,1971.5394
0.96745026,1977.4683
0.96745026,1983.3971
0.96745026,1989.326
0.96745026,1995.2548
0.96745026,2001.1837
0.96875238,2007.1125
0.96875238,2013.0413
0.96875238,2018.9702
0.97005439,2024.899
0.96875238,2030.828
0.96875238,2036.7567
0.97005439,2042.6855
0.97005439,2048.6145
0.97135651,2054.5432
0.97135651,2060.4722
0.97135651,2066.4011
0.97135651,2072.3298
0.97135651,2078.2588
0.97135651,2084.1875
0.97135651,2090.1165
0.97135651,2096.0452
0.97135651,2101.9741
0.97135651,2107.9031
0.97005439,2113.8318
0.96875238,2119.7607
0.96875238,2125.6895
0.96745026,2131.6182
0.96614814,2137.5474
0.96614814,2143.4761
0.96614814,2149.405
0.96354401,2155.3337
0.96354401,2161.2625
0.96354401,2167.1914
0.96224189,2173.1204
0.96224189,2179.0493
0.96093988,2184.978
0.96093988,2190.9067
0.96093988,2196.8357
0.96093988,2202.7644
0.96093988,2208.6936
0.96093988,2214.6223
0.96354401,2220.551
0.96224189,2226.48
0.96224189,2232.4087
0.96224189,2238.3376
0.96354401,2244.2666
0.96354401,2250.1953
0.96354401,2256.1243
0.96354401,2262.053
0.96354401,2267.9819
0.96484613,2273.9106
0.96484613,2279.8396
0.96614814,2285.7686
0.96614814,2291.6973
0.96614814,2297.6262
0.96614814,2303.5549
0.96614814,2309.4839
0.96614814,2315.4128
0.96614814,2321.3416
0.96614814,2327.2705
0.96484613,2333.1992
0.96354401,2339.1279
0.96354401,2345.0571
0.96354401,2350.9858
0.96354401,2356.9148
0.96224189,2362.8435
0.96224189,2368.7722
0.96093988,2374.7012
0.96093988,2380.6301
0.96093988,2386.5591
0.96093988,2392.4878
0.95833564,2398.4165
0.95833564,2404.3455
0.95833564,2410.2742
0.95833564,2416.2034
0.95703363,2422.1321
0.95703363,2428.0608
0.95703363,2433.9897
0.95703363,2439.9185
0.95573151,2445.8474
0.95442939,2451.7764
0.95442939,2457.7051
0.95442939,2463.634
0.95573151,2469.5627
0.95312738,2475.4917
0.95312738,2481.4204
0.95312738,2487.3494
0.95312738,2493.2783
0.95312738,2499.207
0.95312738,2505.136
0.95312738,2511.0647
0.95312738,2516.9934
0.95312738,2522.9226
0.95312738,2528.8513
0.95312738,2534.7803
0.95182526,2540.709
0.95182526,2546.6377
0.95182526,2552.5667
0.95182526,2558.4956
0.95182526,2564.4246
0.95312738,2570.3533
0.95312738,2576.282
