qe_ingaas_m25,qe_ingaas_m25_wl,qe_ingaas_m90,qe_ingaas_m90_wl,qe_ingaas_p25,qe_ingaas_p25_wl
0.21097642,767.3244,0.26951289,767.3244,0.1829277,774.0849
0.21341544,769.01453,0.27439094,769.01453,0.1829277,775.77509
0.21219593,770.70471,0.2780495,770.70471,0.1829277,777.46521
0.21341544,772.39478,0.281708,772.39478,0.1829277,779.1554
,774.0849,0.28536654,774.0849,0.18536672,780.84552
0.21707398,775.77509,0.28536654,775.77509,0.18536672,782.53558
0.219513,777.46521,0.28536654,777.46521,0.18780574,784.22577
0.219513,779.1554,0.29024458,779.1554,0.19024475,785.91589
0.22195202,780.84552,0.2926836,780.84552,0.19268377,787.60608
0.22195202,782.53558,0.29512262,782.53558,0.19512279,789.2962
0.22439104,784.22577,0.29756165,784.22577,0.19512279,790.98639
0.22561054,785.91589,0.29756165,785.91589,0.19756182,792.67651
0.22683007,787.60608,0.29756165,787.60608,0.20000084,794.36658
0.22926909,789.2962,0.30487868,789.2962,0.20243986,796.05676
0.22683007,790.98639,0.30609822,790.98639,0.20609838,797.74689
0.23414713,792.67651,0.31097627,792.67651,0.2073179,799.43707
0.24146418,794.36658,0.31585428,794.36658,0.21219593,801.1272
0.24268369,796.05676,0.31585428,796.05676,0.21585447,802.81732
0.2439032,797.74689,0.33292744,797.74689,0.21707398,804.50745
0.2439032,799.43707,0.33536643,799.43707,0.219513,806.19757
0.25731781,801.1272,0.34878105,801.1272,0.22195202,807.88776
0.25853732,802.81732,0.3512201,802.81732,0.22439104,809.57788
0.26463488,804.50745,0.3548786,804.50745,0.22439104,811.26801
0.26951289,806.19757,0.35853714,806.19757,0.22683007,812.95819
0.27073243,807.88776,0.36097613,807.88776,0.22804956,814.64825
0.27439094,809.57788,0.36219567,809.57788,0.22926909,816.33844
0.27926898,811.26801,0.36341518,811.26801,0.23170811,818.02856
0.28292751,812.95819,0.37195176,812.95819,0.23414713,819.71869
0.28292751,814.64825,0.37317127,814.64825,0.23658614,821.40887
0.29146409,816.33844,0.37561026,816.33844,0.23658614,823.099
0.29512262,818.02856,0.38536635,818.02856,0.23902516,824.78918
0.29634213,819.71869,0.38414684,819.71869,0.24146418,826.47925
0.30000067,821.40887,0.38658589,821.40887,0.24146418,828.16943
0.30243966,823.099,0.40853706,823.099,0.2439032,829.85956
0.30609822,824.78918,0.42195168,824.78918,0.24756172,831.54968
0.30975673,826.47925,0.42195168,826.47925,0.25243977,833.23987
0.31463477,828.16943,0.47073209,828.16943,0.2560983,834.92999
0.31707379,829.85956,0.47317109,829.85956,0.26219586,836.62012
0.3182933,831.54968,0.50243932,831.54968,0.26585439,838.31024
0.32195184,833.23987,0.50609785,833.23987,0.27073243,840.00037
0.32317135,834.92999,0.51951241,834.92999,0.27439094,841.69055
0.32682988,836.62012,0.55365872,836.62012,0.2780495,843.38068
0.3292689,838.31024,0.55609775,838.31024,0.281708,845.07086
0.33048838,840.00037,0.55731726,840.00037,0.28780556,846.76099
0.33902496,841.69055,0.57073188,841.69055,0.29390311,848.45105
0.34146401,843.38068,0.5731709,843.38068,0.29634213,850.14124
0.34878105,845.07086,0.60243917,845.07086,0.30000067,851.83136
0.35975665,846.76099,0.61463428,846.76099,0.30243966,853.52155
0.36585417,848.45105,0.63170737,848.45105,0.3036592,855.21167
0.37317127,850.14124,0.63170737,850.14124,0.30853724,856.90179
0.37317127,851.83136,0.6353659,851.83136,0.31219575,858.59192
0.38170785,853.52155,0.65365851,853.52155,0.31707379,860.28204
0.38536635,855.21167,0.65487808,855.21167,0.32073236,861.97223
0.38658589,856.90179,0.6682927,856.90179,0.32317135,863.66235
0.39024439,858.59192,0.6682927,858.59192,0.32682988,865.35254
0.39146394,860.28204,0.68048775,860.28204,0.3292689,867.04266
0.40000048,861.97223,0.68292677,861.97223,0.33170792,868.73273
0.4024395,863.66235,0.68780488,863.66235,0.33414695,870.42291
0.40975654,865.35254,0.69756091,865.35254,0.33658597,872.11304
0.41097605,867.04266,0.69878042,867.04266,0.33902496,873.80322
0.41463459,868.73273,0.70609748,868.73273,0.34146401,875.49335
0.43658578,870.42291,0.70609748,870.42291,0.34512252,877.18347
0.44024429,872.11304,0.70975602,872.11304,0.34878105,878.87366
0.45365891,873.80322,0.70975602,873.80322,0.35853714,880.56372
0.49756128,875.49335,0.71219504,875.49335,0.36829323,882.25391
0.50853688,877.18347,0.71219504,877.18347,0.37804931,883.94403
0.51951241,878.87366,0.71463412,878.87366,0.38780537,885.63416
0.53902459,880.56372,0.71463412,880.56372,0.39024439,887.32434
0.55731726,882.25391,0.71463412,882.25391,0.39512244,889.01447
0.55731726,883.94403,0.71707308,883.94403,0.39756146,890.70459
0.55731726,885.63416,0.71707308,885.63416,0.40000048,892.39471
0.5951221,887.32434,0.7195121,887.32434,0.4024395,894.0849
0.59878057,889.01447,0.72073156,889.01447,0.40609801,895.77502
0.61585379,890.70459,0.72195113,890.70459,0.40853706,897.46515
0.64268297,892.39471,0.72195113,892.39471,0.41219559,899.15533
0.65853661,894.0849,0.72317064,894.0849,0.41707364,900.84546
0.66097564,895.77502,0.72439009,895.77502,0.42195168,902.53558
0.67926824,897.46515,0.72439009,897.46515,0.43780529,904.22571
0.69878042,899.15533,0.72560966,899.15533,0.44390285,905.91583
0.69999993,900.84546,0.72682917,900.84546,0.47561008,907.60602
0.69999993,902.53558,0.72682917,902.53558,0.48536617,909.29614
0.71341455,904.22571,,904.22571,0.5000003,910.98633
0.71463412,905.91583,,905.91583,0.53292704,912.67639
0.71463412,907.60602,,907.60602,0.55000025,914.36652
0.71829259,909.29614,0.72682917,909.29614,0.56463432,916.0567
0.73658526,910.98633,0.72926819,910.98633,0.5731709,917.74683
0.73780471,912.67639,0.73048764,912.67639,0.59390259,919.43701
0.73658526,914.36652,0.73170722,914.36652,0.59878057,921.12714
0.7524389,916.0567,0.73170722,916.0567,0.62560982,922.81726
0.75853646,917.74683,0.73170722,917.74683,0.63170737,924.50739
0.76219499,919.43701,,919.43701,0.6573171,926.19751
0.76341444,921.12714,,921.12714,0.66585368,927.8877
0.76585352,922.81726,0.73536575,922.81726,0.68780488,929.57782
0.76585352,924.50739,0.73658526,924.50739,0.6963414,931.26801
,926.19751,0.73658526,926.19751,0.70487803,932.95813
0.76829255,927.8877,0.73780471,927.8877,0.71341455,934.64819
0.76829249,929.57782,0.73780471,929.57782,0.72195113,936.33838
0.76829249,931.26801,,931.26801,0.72804868,938.0285
0.769512,932.95813,,932.95813,0.73170722,939.71869
0.76829249,934.64819,0.74024373,934.64819,0.74634135,941.40881
0.77073151,936.33838,0.73902428,936.33838,0.74878037,943.09894
0.77073151,938.0285,0.73902428,938.0285,0.75487787,944.78906
0.77317053,939.71869,0.73902428,939.71869,0.76341444,946.47919
0.77317053,941.40881,0.73902428,941.40881,0.76585352,948.16937
0.77439004,943.09894,,943.09894,0.769512,949.8595
0.77560961,944.78906,0.73780477,944.78906,0.78414613,951.54962
0.77560961,946.47919,0.73902428,946.47919,0.7804876,953.23981
0.77560961,948.16937,0.74024373,948.16937,0.79390222,954.92993
0.77560961,949.8595,0.74024373,949.8595,0.79756075,956.62006
,951.54962,0.7414633,951.54962,0.7987802,958.31018
,953.23981,,953.23981,0.79999977,960.00037
,954.92993,,954.92993,0.80121922,961.69049
0.78170717,956.62006,,956.62006,0.8024388,963.38062
0.7804876,958.31018,,958.31018,0.80365831,965.0708
0.78292662,960.00037,,960.00037,0.80487776,966.76086
0.78292662,961.69049,,961.69049,0.80609733,968.45105
0.7853657,963.38062,0.7414633,963.38062,0.80731684,970.14117
0.78414613,965.0708,0.7414633,965.0708,0.80731684,971.8313
,966.76086,0.7414633,966.76086,0.80975586,973.52148
,968.45105,0.7414633,968.45105,0.80975586,975.21161
,970.14117,0.7414633,970.14117,0.81097531,976.90179
0.79146314,971.8313,0.74390227,971.8313,0.81219482,978.59186
0.79024369,973.52148,0.74390227,973.52148,0.81341439,980.28198
0.79024369,975.21161,0.74390227,975.21161,0.81463385,981.97217
0.79268271,976.90179,0.74634135,976.90179,0.81463385,983.66229
0.79268271,978.59186,0.74634135,978.59186,0.81585342,985.35248
0.79268271,980.28198,0.74634135,980.28198,0.81707293,987.0426
0.79146314,981.97217,0.74634135,981.97217,0.81707293,988.73267
0.79268271,983.66229,0.74634135,983.66229,0.81829238,990.42285
0.79390222,985.35248,0.74634135,985.35248,0.81951195,992.11298
0.79390222,987.0426,0.74634135,987.0426,0.81951195,993.80316
0.79512167,988.73267,0.74634135,988.73267,0.8207314,995.49329
,990.42285,0.74634135,990.42285,0.82195091,997.18347
,992.11298,,992.11298,0.82317048,998.87354
,993.80316,0.74512184,993.80316,0.82438993,1000.5637
0.79512167,995.49329,0.74634135,995.49329,0.82560945,1002.2539
0.79512167,997.18347,0.74634135,997.18347,0.82682902,1003.944
0.79512167,998.87354,0.7475608,998.87354,0.82804847,1005.6341
0.79512167,1000.5637,0.7475608,1000.5637,0.82804847,1007.3242
0.79512167,1002.2539,,1002.2539,0.82926804,1009.0143
0.79512167,1003.944,,1003.944,0.82926804,1010.7045
,1005.6341,0.74999982,1005.6341,0.831707,1012.3947
,1007.3242,0.74878037,1007.3242,0.83292657,1014.0848
,1009.0143,0.74878037,1009.0143,0.83292657,1015.775
,1010.7045,0.74878037,1010.7045,0.83292657,1017.4651
0.79512167,1012.3947,0.74878037,1012.3947,0.83292657,1019.1553
0.79512167,1014.0848,0.74878037,1014.0848,0.83292657,1020.8454
0.79512167,1015.775,,1015.775,0.83414602,1022.5356
0.79512167,1017.4651,,1017.4651,0.83414602,1024.2257
0.79512167,1019.1553,,1019.1553,0.83414602,1025.9158
0.79512167,1020.8454,,1020.8454,0.83536553,1027.6058
0.79756075,1022.5356,,1022.5356,0.83536553,1029.296
0.79634124,1024.2257,0.7524389,1024.2257,0.8365851,1030.9862
0.79756075,1025.9158,0.7524389,1025.9158,0.8365851,1032.6764
0.79756075,1027.6058,0.7524389,1027.6058,0.8365851,1034.3665
0.79756075,1029.296,0.75365835,1029.296,0.83780456,1036.0566
,1030.9862,0.75365835,1030.9862,0.83780456,1037.7468
0.79756075,1032.6764,,1032.6764,0.83902407,1039.4369
0.79756075,1034.3665,,1034.3665,0.83902407,1041.1271
0.79756075,1036.0566,,1036.0566,0.83902407,1042.8173
0.79756075,1037.7468,,1037.7468,0.83902407,1044.5073
0.79756075,1039.4369,0.75609744,1039.4369,0.83902407,1046.1975
0.79756075,1041.1271,0.75609744,1041.1271,0.83902407,1047.8876
0.79756075,1042.8173,0.75609744,1042.8173,0.83902407,1049.5778
0.79756075,1044.5073,0.75365835,1044.5073,0.83902407,1051.2678
0.79756075,1046.1975,0.75365835,1046.1975,0.83902407,1052.958
0.79756075,1047.8876,,1047.8876,0.83902407,1054.6482
0.79756075,1049.5778,,1049.5778,0.83902407,1056.3383
,1051.2678,0.75121933,1051.2678,0.83902407,1058.0284
,1052.958,0.75121933,1052.958,0.84024358,1059.7186
,1054.6482,0.75121933,1054.6482,0.84146309,1061.4088
0.80121922,1056.3383,0.75121933,1056.3383,0.84268266,1063.0989
0.8024388,1058.0284,0.75121933,1058.0284,0.84268266,1064.7891
0.8024388,1059.7186,0.75121933,1059.7186,0.84268266,1066.4792
0.80365831,1061.4088,,1061.4088,0.84146309,1068.1693
0.80365831,1063.0989,,1063.0989,0.84146309,1069.8594
,1064.7891,,1064.7891,0.84268266,1071.5496
,1066.4792,,1066.4792,0.84268266,1073.2396
,1068.1693,,1068.1693,0.84268266,1074.9298
0.80609733,1069.8594,0.75121933,1069.8594,0.84268266,1076.62
0.80487776,1071.5496,0.7524389,1071.5496,0.84146309,1078.3102
0.80609733,1073.2396,0.7524389,1073.2396,0.84268266,1080.0002
0.80731684,1074.9298,0.75365835,1074.9298,0.84268266,1081.6904
0.80487776,1076.62,0.75365835,1076.62,0.84268266,1083.3806
0.80731684,1078.3102,,1078.3102,0.84268266,1085.0707
0.80731684,1080.0002,,1080.0002,0.84268266,1086.7609
,1081.6904,,1081.6904,0.84268266,1088.451
,1083.3806,,1083.3806,0.84268266,1090.1412
,1085.0707,,1085.0707,0.84268266,1091.8312
0.81219482,1086.7609,,1086.7609,0.84146309,1093.5214
0.81219482,1088.451,,1088.451,0.84268266,1095.2115
0.81219482,1090.1412,0.7585364,1090.1412,0.84390211,1096.9016
0.81219482,1091.8312,0.75853646,1091.8312,0.84390211,1098.5918
0.81219482,1093.5214,0.75853646,1093.5214,0.84512162,1100.282
0.81219482,1095.2115,0.75853646,1095.2115,0.84512162,1101.972
,1096.9016,0.75853646,1096.9016,0.84634119,1103.6622
,1098.5918,0.75853646,1098.5918,0.84634119,1105.3524
,1100.282,,1100.282,0.84756064,1107.0426
0.80731684,1101.972,,1101.972,0.84756064,1108.7327
0.80731684,1103.6622,,1103.6622,0.84878016,1110.4229
0.80731684,1105.3524,,1105.3524,0.84878016,1112.113
0.80731684,1107.0426,,1107.0426,0.84999967,1113.803
0.80731684,1108.7327,0.75853646,1108.7327,0.85121918,1115.4932
0.80731684,1110.4229,0.75853646,1110.4229,0.85121918,1117.1833
,1112.113,0.75853646,1112.113,0.85243869,1118.8735
,1113.803,0.75853646,1113.803,0.8536582,1120.5636
,1115.4932,0.75853646,1115.4932,0.8536582,1122.2538
,1117.1833,0.75853646,1117.1833,0.85487771,1123.944
,1118.8735,,1118.8735,0.8536582,1125.634
0.80853629,1120.5636,,1120.5636,0.85243869,1127.3242
0.80853629,1122.2538,,1122.2538,0.85243869,1129.0144
0.80975586,1123.944,0.75853646,1123.944,0.85121918,1130.7045
0.80975586,1125.634,0.75853646,1125.634,0.85121918,1132.3947
0.81097531,1127.3242,0.75853646,1127.3242,0.84999967,1134.0847
,1129.0144,0.75853646,1129.0144,0.84999967,1135.7749
,1130.7045,0.75853646,1130.7045,0.84878016,1137.465
,1132.3947,0.75853646,1132.3947,0.84878016,1139.1552
,1134.0847,,1134.0847,0.84878016,1140.8453
,1135.7749,,1135.7749,0.84878016,1142.5354
,1137.465,,1137.465,0.84878016,1144.2256
,1139.1552,0.75609744,1139.1552,0.84878016,1145.9158
0.81585336,1140.8453,0.75609744,1140.8453,0.84878016,1147.606
0.81463385,1142.5354,0.75609744,1142.5354,0.84878016,1149.296
0.81463385,1144.2256,0.75487787,1144.2256,0.84878016,1150.9862
0.81463385,1145.9158,0.75487787,1145.9158,0.84878016,1152.6764
0.81463385,1147.606,0.7524389,1147.606,0.84878016,1154.3665
0.81463385,1149.296,0.7524389,1149.296,0.84878016,1156.0565
,1150.9862,0.75365835,1150.9862,0.84878016,1157.7467
,1152.6764,0.75365835,1152.6764,0.84999967,1159.4368
,1154.3665,0.75731689,1154.3665,0.84999967,1161.127
0.81463385,1156.0565,,1156.0565,0.84999967,1162.8171
0.81463385,1157.7467,0.75975591,1157.7467,0.85121918,1164.5073
0.81463385,1159.4368,0.75853646,1159.4368,0.85121918,1166.1974
0.81463385,1161.127,0.75853646,1161.127,0.85243869,1167.8876
0.81463385,1162.8171,0.75853646,1162.8171,0.85243869,1169.5778
0.81463385,1164.5073,0.75853646,1164.5073,0.85243869,1171.2678
,1166.1974,0.75853646,1166.1974,0.8536582,1172.958
,1167.8876,0.75731689,1167.8876,0.8536582,1174.6482
,1169.5778,0.75731689,1169.5778,0.85487771,1176.3383
0.81463385,1171.2678,0.75609744,1171.2678,0.85487771,1178.0283
0.81463385,1172.958,0.75487787,1172.958,0.85487771,1179.7185
0.81463385,1174.6482,0.75487787,1174.6482,0.85487771,1181.4087
0.81463385,1176.3383,,1176.3383,0.85487771,1183.0988
0.81463385,1178.0283,0.75487787,1178.0283,0.85487771,1184.7889
