grating1055,grating1055_wl
0.18619926,225.43564
0.18880345,228.57153
0.19140761,231.70743
0.19661595,234.84331
0.19922012,237.9792
0.20442846,241.1151
0.20442846,244.25098
0.20573053,247.38687
0.20442846,250.52277
0.2005222,253.65865
0.19401178,256.79456
0.18880345,259.93042
0.18489717,263.06631
0.18099092,266.20221
0.17708467,269.3381
0.17187634,272.474
0.16927215,275.60989
0.16406381,278.74576
0.15885548,281.88165
0.15494923,285.01755
0.15104297,288.15344
0.14974089,291.28934
0.1484388,294.42523
0.14713672,297.5611
0.14583462,300.69699
0.14583462,303.83289
0.1484388,306.96878
0.14974089,310.10468
0.15234506,313.24057
0.15755339,316.37643
0.16276173,319.51233
0.17057425,322.64822
0.17838676,325.78412
0.18489717,328.92001
0.19531386,332.05591
0.19531386,335.19177
0.21354306,338.32767
0.22265764,341.46356
0.23177223,344.59946
0.23958474,347.73535
0.24869934,350.87125
0.25781393,354.00714
0.26823062,357.14304
0.27734521,360.27893
0.2877619,363.41483
0.29297024,366.55072
0.31770983,369.68661
0.32942858,372.82248
0.34244946,375.95837
0.34375155,379.09427
0.37500161,382.23016
0.3854183,385.36606
0.40494955,388.50195
0.42317876,391.63782
0.44401211,394.77371
0.45833504,397.90961
0.46875173,401.0455
0.47656423,404.1814
0.48698089,407.31729
0.49609551,410.45316
0.49739757,413.58905
0.51823092,416.72495
0.52994972,419.86084
0.53906429,422.99673
0.54948097,426.13263
0.55599141,429.26852
0.56771016,432.40439
0.56510603,435.54028
0.58333516,438.67618
0.59114766,441.81207
0.5976581,444.94797
0.60937691,448.08386
0.61328316,451.21973
0.62239772,454.35562
0.63151234,457.49152
0.64062691,460.62741
0.64974153,463.76331
0.65885615,466.8992
0.66536653,470.03506
0.6705749,473.17096
0.67708534,476.30685
0.68229365,479.44275
0.6861999,482.57864
0.69140822,485.71454
0.69661659,488.8504
0.70442909,491.9863
0.70573121,495.12219
0.71354371,498.25809
0.71744996,501.39398
0.72135621,504.52985
0.72396034,507.66574
0.72786659,510.80161
0.73307496,513.93756
0.73698121,517.07336
0.7395854,520.20929
0.74218959,523.34515
0.74349165,526.48108
0.74349165,529.61694
0.74088746,532.75287
0.7395854,535.88873
0.73828334,539.02466
0.73567915,542.16052
0.73567915,545.29645
0.73567915,548.43231
0.73567915,551.56824
0.73567915,554.7041
0.73567915,557.83997
0.73567915,560.97589
0.73567915,564.11176
0.73307496,567.24768
0.73307496,570.38354
0.73567915,573.51947
0.73567915,576.65533
0.73567915,579.79126
0.73567915,582.92712
0.73567915,586.06305
0.73437709,589.19891
0.73177284,592.33478
0.73047084,595.47064
0.72786659,598.60657
0.72526246,601.74243
0.72396034,604.87836
0.72265834,608.01422
0.72265834,611.15015
0.72135621,614.28601
0.72005409,617.42194
0.72005409,620.5578
0.71875209,623.69373
0.71744996,626.82959
0.71744996,629.96545
0.71614784,633.10132
0.71354371,636.23724
0.71093947,639.37311
0.70833534,642.50903
0.70442909,645.6449
0.70052284,648.78082
0.69661659,651.91669
0.69271034,655.05261
0.68880409,658.18848
0.68359572,661.3244
0.67708534,664.46027
0.6705749,667.59619
0.66536653,670.73199
0.66146028,673.86792
0.65755403,677.00378
0.6549499,680.13971
0.65364778,683.27557
0.65234566,686.4115
0.64974153,689.54736
0.64974153,692.68329
0.6471374,695.81915
0.6471374,698.95508
0.64453316,702.09094
0.64453316,705.22687
0.64323115,708.36267
0.64192903,711.4986
0.64062691,714.63446
0.63932484,717.77039
0.63672066,720.90625
0.63541859,724.04218
0.63151234,727.17804
0.62760609,730.31396
0.62500191,733.44983
0.62239772,736.58575
0.61718941,739.72162
0.61458522,742.85754
0.61198103,745.99335
0.60807478,749.12927
0.60416853,752.26514
0.60156435,755.40106
0.59896022,758.53693
0.59635603,761.67285
0.59244978,764.80872
0.59114766,767.94464
0.58854353,771.08051
0.58593935,774.21643
0.5820331,777.35229
0.57942891,780.48822
0.57682478,783.62402
0.57291853,786.75995
0.56901228,789.89581
0.56510603,793.03174
0.56250185,796.1676
0.55989766,799.30353
0.55468935,802.43939
0.55208516,805.57532
0.54948097,808.71118
0.54687679,811.84711
0.54427266,814.98297
0.53906429,818.1189
0.5364601,821.25476
0.53255385,824.39062
0.5286476,827.52649
0.52604342,830.66241
0.52343929,833.79828
0.51823092,836.9342
0.51432467,840.07007
0.51172048,843.20599
0.50781423,846.34186
0.50390798,849.47778
0.50000173,852.61365
0.49739757,855.74957
0.49609551,858.88544
0.49088714,862.0213
0.48698089,865.15717
0.48437673,868.29309
0.48047048,871.42896
